"CONTA_CONTABIL";"DESCRICAO";"ORIENTACOES"
"3.01.01.05.01.11";"Premios Recebidos na Emissao de Debentures";"Contas que registram valor dos premios recebidos na emissao de debentures, tais como:                                                                                            1) A pessoa juridica podera excluir o valor decorrente de premios recebidos na emissao de debentures, reconhecido no exercicio, para fins de apuracao do lucro real; caso mantenha em reserva de lucros especifica a parcela decorrente de premio na emissao de debentures, apurada ate o limite do lucro liquido do exercicio;  2) O premio na emissao de debentures sera tributado caso seja dada destinacao diversa da que esta prevista no item 1 acima, inclusive nas hipoteses de: a) capitalizacao do valor e posterior restituicao de capital aos socios ou ao titular, mediante reducao do capital social, hipotese em que a base para a incidencia sera o valor restituido, limitado ao valor total das exclusoes decorrentes de premios na emissao de debentures; b) restituicao de capital aos socios ou ao titular, mediante reducao do capital social, nos 5 (cinco) anos anteriores a data da emissao das debentures com o premio, com posterior capitalizacao do valor do premio, hipotese em que a base para a incidencia sera o valor restituido, limitado ao valor total das exclusoes decorrentes de premios na emissao de debentures; ou c) integracao a base de calculo dos dividendos obrigatorios."
"3.01.01.05.01.12";"Doacoes e Subvencoes para Custeio ou Operacoes";"Contas que registram as subvencoes para custeio ou operacoes recebidas, inclusive mediante isencao ou reducao de impostos concedidas como estimulo a implantacao ou expansao de empreendimentos economicos, e as doacoes recebidas do Poder Publico."
"3.01.01.05.01.13";"Doacoes e Subvencoes para Investimentos";"Contas que registras as subvencoes para investimento recebidas, inclusive mediante isencao ou reducao de impostos concedidas como estimulo a implantacao ou expansao de empreendimentos economicos, e as doacoes recebidas do Poder Publico. Atencao: 1) A pessoa juridica podera excluir o valor decorrente de doacoes ou subvencoes governamentais para investimentos, reconhecido no exercicio, para fins de apuracao do lucro real; caso mantenha em reserva de lucros a que se refere o art. 195-A da Lei no 6.404, de 1976, a parcela decorrente de doacoes ou subvencoes governamentais, apurada ate o limite do lucro liquido do exercicio. 2) As doacoes e subvencoes serao tributadas caso seja dada destinacao diversa da prevista no item 1, inclusive nas hipoteses de:  a) capitalizacao do valor e posterior restituicao de capital aos socios ou ao titular, mediante reducao do capital social, hipotese em que a base para a incidencia sera o valor restituido, limitado ao valor total das exclusoes decorrentes de doacoes ou subvencoes governamentais para investimentos;  b) restituicao de capital aos socios ou ao titular, mediante reducao do capital social, nos 5 (cinco) anos anteriores a data da doacao ou da subvencao, com posterior capitalizacao do valor da doacao ou da subvencao, hipotese em que a base para a incidencia sera o valor restituido, limitado ao valor total das exclusoes decorrentes de doacoes ou de subvencoes governamentais para investimentos; ou  c) integracao a base de calculo dos dividendos obrigatorios.  3) Se, no periodo base em que ocorrer a exclusao, a pessoa juridica apurar prejuizo contabil ou lucro liquido contabil inferior a parcela decorrente de doacoes e subvencoes governamentais, e neste caso nao puder ser constituida como parcela de lucros nos termos do item 1 acima, esta devera ocorrer nos exercicios subsequentes."
"3.01.01.05.01.14";"Receitas de Reclassificacao de Ajustes de Avaliacao Patrimonial";"Contas que registram as contrapartidas da realizacao do grupo Ajustes de Avaliacao Patrimonial do PL reconhecidas no resultado do exercicio em obediencia ao regime de competencia."
"3.01.01.05.01.15";"Receitas de Reclassificacao de Ajustes de Avaliacao Patrimonial-Reflexo";"Contas que registram as contrapartidas da realizacao do grupo Ajustes de Avaliacao Patrimonial do PL-Reflexo reconhecidas no resultado do exercicio em obediencia ao regime de competencia."
"3.01.01.05.01.16";"Receitas Financeiras Decorrentes de Ajustes ao Valor Presente";"Contas que registram as contrapartidas de aumentos de ativos sujeitos a Ajuste ao Valor Presente de acordo com o regime de competencia."
"3.01.01.05.01.17";"Ganho Por Compra Vantajosa em Investimentos";"Contas que registram os ganhos auferidos por compra vantajosa nas aquisicoes de controle de investimento, independente do criterio de avaliacao."
"3.01.01.05.01.18";"Amortizacao de Menos-Valia";"Contas que registram a amortizacao de menos-valia."
"3.01.01.05.01.19";"Receita de Aluguel de Bens Imoveis-Atividade Nao Principal";"Contas que registram alugueis de bens por empresa que nao tenha por objeto a locacao de imoveis."
"3.01.01.05.01.20";"Receita de Aluguel de Bens Moveis-Atividade Nao Principal";"Contas que registram alugueis de bens por empresa que nao tenha por objeto a locacao de moveis."
"3.01.01.05.01.21";"Creditos Presumidos de IPI";"Contas que registram os creditos presumidos do IPI para ressarcimento do valor da Contribuicao ao PIS/PASEP e COFINS."
"3.01.01.05.01.22";"Creditos Presumidos de PIS/COFINS";"Contas que registram o credito presumido da contribuicao para o PIS/PASEP e da COFINS concedido na forma do art. 3o da Lei no 10.147, de 2000."
"3.01.01.05.01.23";"Outros Creditos Fiscais Presumidos";"Contas que registram outros creditos fiscais presumidos."
"3.01.01.05.01.24";"Multas e Outras Vantagens Recebidas";"Contas que registram multas ou vantagens a titulo de indenizacao em virtude de rescisao contratual (Lei no 9.430, de 1996, art. 70, ? 3o, II)."
"3.01.01.05.01.25";"Lucros e Dividendos Derivados de Participacoes Societarias Avaliadas pelo Custos de Aquisicao";"Contas que registram os resultados positivos em participacoes societarias avaliadas pelo custo de aquisicao."
"3.01.01.05.01.26";"Receitas com Emprestimos de Valores Mobiliarios";"Contas que registram as receitas com emprestimos de valores mobiliarios."
"3.01.01.05.01.27";"Rendimentos Auferidos em Operacoes de Mutuo-Partes Relacionadas";"Contas que registram os juros auferidos em operacoes de mutuo com partes relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12."
"3.01.01.05.01.28";"Rendimentos Auferidos em Operacoes de Mutuo-Partes Nao Relacionadas";"Contas que registram os juros auferidos em operacoes de mutuo com partes nao relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12."
"3.01.01.05.01.29";"Rendimentos Auferidos com Debentures-Emitente Partes  Relacionadas";"Contas que registram os juros auferidos com debentures emitidas por partes relacionadas."
"3.01.01.05.01.30";"Rendimentos Auferidos com Debentures-Emitente Partes Nao Relacionadas";"Contas que registram os juros auferidos com debentures emitidas por partes nao relacionadas."
"3.01.01.05.01.31";"Rendimentos Auferidos com Titulos Publicos";"Contas que registram os juros auferidos em certificados de depositos bancarios (CDB)."
"3.01.01.05.01.32";"Juros Auferidos com Outros Ativos Financeiros Mensurados Pelo Custo Amortizado";"Contas que registram os juros auferidos com outros ativos financeiros mensurados pelo custo amortizado."
"3.01.01.05.01.33";"Ganho de Ajustes a Valor Justo-Instrumentos Financeiros  para Negociacao-Nao Hedge-VJPR.";"Contas que registram os ganhos decorrentes de ajustes a valor justo de instrumentos financeiros para negociacao, exceto hedge, avaliados a valor justo pelo resultado."
"3.01.01.05.01.34";"Ganho de Ajustes Valor Justo -Instru. Financ.  Disp. p/Venda-Reclas. de Ajustes de Avaliacao Patrim.";"Contas que registram os ganhos decorrentes de ajustes a valor justo de instrumentos financeiros disponiveis para venda no momento da reclassificacao dos ajustes de avaliacao patrimonial."
"3.01.01.05.01.35";"Ganho de Ajustes a Valor Justo-Instrumentos Financeiros  de Hedge  de Valor Justo";"Contas que registram os ganhos decorrentes de ajustes a valor justo de instrumentos financeiros de hedge."
"3.01.01.05.01.36";"Ganho de Ajustes a Valor Justo-Instru. Financ.  de Hedge-Reclassif. de Ajustes de Avaliacao Patrim.";"Contas que registram os ganhos decorrentes de ajustes a valor justo de instrumentos financeiros de hedge no momento da reclassificacao dos ajustes de avaliacao patrimonial."
"3.01.01.05.01.37";"Ganho de Ajustes a Valor Justo-Item Objeto de Hedge de Valor Justo";"Contas que registram os ganhos decorrentes de ajustes a valor justo de item objeto de hedge."
"3.01.01.05.01.38";"Ganho de Ajustes a Valor Justo-Propriedade para Investimento";"Contas que registram os ganhos decorrentes de ajustes a valor justo de propriedades para investimento."
"3.01.01.05.01.39";"Ganho de Ajustes a Valor Justo-Ativo Biologico Consumivel";"Contas que registram os ganhos decorrentes de ajustes a valor justo de ativo biologico consumivel."
"3.01.01.05.01.40";"Ganho de Ajustes a Valor Justo-Ativo Biologico de Producao";"Contas que registram os ganhos decorrentes de ajustes a valor justo de ativo biologico de producao."
"3.01.01.05.01.41";"Ganho de Ajustes a Valor Justo-Ativos Nao Circulantes Mantidos para Venda";"Contas que registram os ganhos decorrentes de ajustes a valor justo de ativos nao circulantes mantidos para venda."
"3.01.01.05.01.42";"Ganho de Ajustes a Valor Justo-Subscricao de Capital com demais Bens";"Contas que registram os ganhos decorrentes de ajustes a valor justo de subscricao de capital com demais bens."
"3.01.01.05.01.43";"Ganho de Ajustes a Valor Justo-Subscricao de Capital com Participacao Societaria";"Contas que registram os ganhos decorrentes de ajustes a valor justo de subscricao de capital com participacao societaria."
"3.01.01.05.01.44";"Ganho de Ajustes a Valor Justo-Aquisicao de Participacao Societaria em Estagios";"Contas que registram os ganhos decorrentes de ajustes a valor justo de aquisicao de participacao societaria em estagios."
"3.01.01.05.01.45";"Ganho de Ajustes a Valor Justo - Decorrente de Permuta de Ativos ou Passivos";"Contas que registram os ganhos decorrentes de ajustes a valor justo devido a permuta de ativos ou passivos."
"3.01.01.05.01.46";"Ganho de Ajustes a Valor Justo - Outras Operacoes";"Contas que registram os ganhos decorrentes de ajustes a valor justo de outras operacoes nao classificaveis neste plano de contas."
"3.01.01.05.01.47";"Receitas Provenientes de Partes Relacionadas";"Contas que registram as receitas provenientes de partes relacionadas."
"3.01.01.05.01.48";"Receitas Provenientes de Partes Nao Relacionadas";"Contas que registram as receitas provenientes de partes relacionadas."
"3.01.01.05.01.99";"Outras Receitas Operacionais";"Contas que registrem as demais receitas que, por definicao legal, sejam consideradas operacionais. tais como recuperacoes de despesas operacionais de periodos de apuracao anteriores, tais como: premios de seguros, importancias levantadas das contas vinculadas do FGTS, ressarcimento de desfalques, roubos e furtos, etc. As recuperacoes de custos e despesas no decurso do proprio periodo de apuracao devem ser creditadas diretamente as contas de resultado em que foram debitadas."
"3.01.01.07";"DESPESAS OPERACIONAIS";
"3.01.01.07.01";"DESPESAS OPERACIONAIS DAS ATIVIDADES EM GERAL";
"3.01.01.07.01.01";"(-) Remuneracao a Dirigentes e a Conselho de Administracao";"Contas que registram a despesa incorrida relativa a remuneracao mensal e fixa atribuida ao titular de firma individual, aos socios, diretores e administradores de sociedades, ou aos representantes legais de sociedades estrangeiras, as despesas incorridas com os salarios indiretos concedidos pela empresa a administradores, diretores, gerentes e seus assessores (PN Cosit no 11, de 1992), e o valor referente as remuneracoes atribuidas aos membros do conselho fiscal ou consultivo. Atencao: 1) Os valores das gratificacoes aos dirigentes que estejam ligados a area industrial ou de producao de servicos devem ser informados nas contas de custos, respectivamente; 2) O valor de 13o salario pago a diretor contratado nos termos da Consolidacao das Leis do Trabalho (CLT) e dedutivel, desde que ele nao esteja enquadrado no conceito de socio, diretor ou administrador estabelecido no PN CST no 48, de 1972.                                                                                                                                                                                                                                                                                                       3) As gratificacoes espontaneas devem ser adicionadas ao Lucro Real."
"3.01.01.07.01.02";"(-) Ordenados, Salarios, Gratificacoes e Outras Remuneracoes a Empregados";"Contas que registram as despesas com ordenados, salarios, gratificacoes e outras despesas com empregados, tais como: comissoes, moradia, seguro de vida, contribuicoes pagas ao plano PAIT, despesas com programa de previdencia privada, contribuicoes para os Fundos de Aposentadoria Programada Individual (Fali), e outras de carater remuneratorio. Atencao: 1) As despesas correspondentes a salarios, ordenados, gratificacoes e outras remuneracoes referentes a area de saude, tais como assistencia medica, odontologica e farmaceutica, devem ser indicadas na conta 'Assistencia, medica, odontologica e farmaceutica a empregados'. 2) Nao deve ser informado nesta linha o valor referente as participacoes dos empregados no lucro da pessoa juridica. Esse valor deve ser informado na conta 'Participacoes de empregados'. 3) O valor das contribuicoes nao compulsorias, destinadas a custear beneficios complementares assemelhados aos da previdencia social, instituidos em favor dos empregados e dirigentes da pessoa juridica, e para os Fundos de Aposentadoria Programada Individual (Fali) cujo onus seja da pessoa juridica, que exceder, no periodo de apuracao, a vinte por cento do total dos salarios dos empregados e da remuneracao dos dirigentes da empresa, vinculados ao referido plano, deve ser adicionado ao Lucro Real. 4) As demais contribuicoes nao compulsorias, exceto as destinadas a custear seguros e planos de saude, devem ser adicionados ao Lucro Real'. "
"3.01.01.07.01.03";"(-) Outros Gastos com Pessoal";"Contas que registrem os demais gastos com pessoal nao especificados em contas anteriores."
"3.01.01.07.01.04";"(-) Outros Servicos Prestados por Pessoa Fisica ou Juridica";"Contas que registram o valor das despesas correspondentes aos servicos prestados por:                                                                                                                                                                              1) Pessoa fisica: que nao tenha vinculo empregaticio com a pessoa juridica declarante, tais como: comissoes, corretagens, gratificacoes, honorarios, direitos autorais e outras remuneracoes, inclusive as relativas a empreitadas de obras exclusivamente de trabalho e as decorrentes de fretes e carretos em geral.                                                                                           2) Pessoa juridica inclusive cooperativa de trabalho e locacao de mao de obra; Atencao: Somente sao dedutiveis as despesas de comissoes e corretagens quando, sobre elas, o credor tenha direito liquido e certo (PN CST no 07, de 28 de janeiro de 1976)."
"3.01.01.07.01.05";"(-) Encargos Sociais-Previdencia Social";"Contas que registram as contribuicoes para a Previdencia Social, nao computadas nos custos (inclusive dos dirigentes-PN CST no 35, de 31 de agosto de 1981)."
"3.01.01.07.01.06";"(-) Encargos Sociais-FGTS";"Contas que registram as contribuicoes para o FGTS nao computadas nos custos (inclusive dos dirigentes-PN CST no 35, de 31 de agosto de 1981)."
"3.01.01.07.01.07";"(-) Encargos Sociais-Outros";"Contas que registram os demais encargos sociais, nao computadas nos custos ou nas contas Encargos Sociais- Previdencia Social ou Encargos Sociais- FGTS."
"3.01.01.07.01.08";"(-) Doacoes e Patrocinios de Carater Cultural e Artistico (Lei no 8.313/1991)";"Contas que registram as doacoes e patrocinios efetuados no periodo de apuracao em favor de projetos culturais previamente aprovados pelo Ministerio da Cultura ou pela Agencia Nacional do Cinema (Ancine), observada a legislacao de concessao dos projetos.  A pessoa juridica que tiver efetuado doacao ou patrocinio a projeto aprovado nos termos dos arts. 25 e 26 da Lei no 8.313, de 23 de dezembro de 1991, ou nos termos desses dois artigos combinados com o ? 6o do art. 39 da Medida Provisoria no 2.228-1, de 6 de agosto de 2001, cujos projetos sao produzidos com os recursos de que trata o inciso X desse mesmo art. 39, pode deduzir o valor relativo as doacoes e/ou patrocinios como despesa operacional. A pessoa juridica que tiver efetuado doacao ou patrocinio a projeto aprovado nos termos do art.18 da Lei no 8.313, de 1991, com alteracoes promovidas pelo art. 1o da Lei no 9.874, de 23 de novembro de 1999, e pelo art. 53 da MP no 2.228-1, de 2001, com a redacao dada pela Lei no 10.454, de 2002, ou nos termos desses artigos combinados com o ? 6o do art. 39 da Medida Provisoria no 2.228-1, de 6 de agosto de 2001, nao pode efetuar qualquer deducao do valor correspondente as doacoes ou patrocinios como despesa operacional. Esse valor deve ser adicionado ao Lucro Real. Atencao: Somente podem usufruir os beneficios fiscais referidos nesta linha os incentivadores que obedecerem, para suas doacoes ou patrocinios, o periodo definido pelas portarias editadas pelo MinC ou Ancine, publicadas no Diario Oficial da Uniao, para homologacao dos projetos beneficiarios."
"3.01.01.07.01.09";"(-) Operacoes de Aquisicao de Vale Cultura (Lei no 12.761/2012, art. 10).";"Contas que registram o total do valor despendido no periodo de apuracao a titulo de aquisicao do vale-cultura. O limite de deducao no percentual de um por cento sera considerado isoladamente e nao se submetera a limite conjunto com outras deducoes do imposto a titulo de incentivo. O valor excedente ao limite de deducao nao podera ser deduzido do imposto em periodos de apuracao posteriores. A pessoa juridica beneficiaria: a) podera deduzir o valor despendido a titulo de aquisicao do vale-cultura como despesa operacional para fins de apuracao do IRPJ; e b) devera adicionar o valor deduzido como despesa operacional, para fins de apuracao da base de calculo da CSLL."
"3.01.01.07.01.10";"(-) Doacoes a Instituicoes de Ensino e Pesquisa (Lei no 9.249/1995, art.13, ? 2o)";"Contas que registram as doacoes efetuadas as instituicoes de ensino e pesquisa cuja criacao tenha sido autorizada por lei federal e que preencham os requisitos dos incisos I e II do art. 213 da Constituicao Federal, de 1988, que sao: a) comprovacao de finalidade nao-lucrativa e aplicacao dos excedentes financeiros em educacao; b) assegurar a destinacao do seu patrimonio a outra escola comunitaria, filantropica ou confessional, ou ao Poder Publico, no caso de encerramento de suas atividades. A sua dedutibilidade esta limitada a 1,5% (um e meio por cento) do lucro operacional, antes de computada esta deducao e a das doacoes a entidades civis."
"3.01.01.07.01.11";"(-) Doacoes a Entidades Civis";"Contas que registram as doacoes efetuadas a: a) entidades civis, legalmente constituidas no Brasil, sem fins lucrativos, que prestem servicos gratuitos em beneficio de empregados da pessoa juridica doadora, e respectivos dependentes, ou em beneficio da comunidade na qual atuem; e b) Organizacoes da Sociedade Civil de Interesse Publico (OSCIP), qualificadas segundo as normas estabelecidas na Lei no 9.790, de 23 de marco de 1999. Para fins de deducao na apuracao do lucro real, as referidas doacoes estao limitadas a 2% (dois por cento) do lucro operacional da pessoa juridica, antes de computadas essas deducoes, observadas as seguintes regras: a) as doacoes, quando em dinheiro, devem ser feitas mediante credito em conta corrente bancaria diretamente em nome da entidade beneficiaria; b) a pessoa juridica doadora deve manter em arquivo, a disposicao da fiscalizacao, declaracao, segundo modelo aprovado pela IN SRF no 87, de 31 de dezembro de 1996, fornecida pela entidade beneficiaria, em que esta se compromete a aplicar integralmente os recursos recebidos na realizacao de seus objetivos sociais, com identificacao da pessoa fisica responsavel pelo seu cumprimento, e a nao distribuir lucros, bonificacoes ou vantagens a dirigentes, mantenedores ou associados, sob nenhuma forma ou pretexto (Lei no 9.249, de 1995, art. 13, ? 2o, inciso III, alinea b); Atencao: 1) A condicao estabelecida no item b nao alcanca a hipotese de remuneracao de dirigente em decorrencia de vinculo empregaticio, pelas Organizacoes da Sociedade Civil de Interesse Publico (OSCIP), qualificadas segundo as normas estabelecidas na Lei no 9.790, de 1999, e pelas Organizacoes Sociais (OS), qualificadas consoante os dispositivos da Lei no 9.637, de 15 de maio de 1998. 2) O disposto no item anterior aplica-se somente a remuneracao nao superior, em seu valor bruto, ao limite estabelecido para a remuneracao de servidores do Poder Executivo Federal. c) a entidade civil beneficiaria deve ser reconhecida de utilidade publica por ato formal de orgao competente da Uniao. Atencao: O disposto neste item nao se aplica as OSCIP. d) a dedutibilidade fica condicionada a que a entidade beneficiaria tenha sua condicao de utilidade publica ou de OSCIP renovada anualmente pelo orgao competente da Uniao, mediante ato formal. Atencao: Essa renovacao: a) somente sera concedida a entidade que comprove, perante o orgao competente da Uniao, ter cumprido, no ano-calendario anterior ao do pedido, todas as exigencias e condicoes estabelecidas; b) produzira efeitos para o ano-calendario subsequente ao de sua formalizacao. O valor que exceder o limite permitido deve ser adicionado ao Lucro Real. "
"3.01.01.07.01.12";"(-) Outras Contribuicoes, Doacoes e Patrocinios";"Contas que registram as doacoes feitas, entre outras, aos Fundos controlados pelos Conselhos Municipais, Estaduais e Nacional dos Direitos da Crianca e do Adolescente e Atividades de Carater Desportivo. O valor dessas doacoes aos Fundos dos Direitos da Crianca e do Adolescente e Atividade de Carater Desportivo nao e dedutivel como despesa operacional na determinacao do lucro real e da base de calculo da contribuicao social sobre o lucro liquido, mas pode ser deduzido diretamente do imposto devido. O valor indicado nesta linha deve, tambem, ser adicionado ao Lucro Real. Atencao: 1) Os valores das doacoes e patrocinios de carater cultural e artistico, das doacoes a instituicoes de ensino e pesquisa e das doacoes a entidades civis (Lei no 9.249, de 1995, art. 13, ? 2o), devem ser indicados nas respectivas contas. 2) O valor da contribuicao sindical deve ser informado na conta de 'Outras Despesas Operacionais'."
"3.01.01.07.01.13";"(-) Alimentacao do Trabalhador";"Contas que registram o valor das despesas com alimentacao do pessoal nao ligado a producao, realizadas durante o periodo de apuracao, ainda que a pessoa juridica nao tenha Programa de Alimentacao do Trabalhador aprovado pelo Ministerio do Trabalho. As despesas correspondentes, inclusive com cestas basicas de alimentos, somente podem ser dedutiveis quando a pessoa juridica fornecer alimentacao, indistintamente, a todos os seus empregados. "
"3.01.01.07.01.14";"(-) PIS/PASEP";"Contas que registram a parcela das Contribuicoes para o PIS/PASEP incidente sobre as demais receitas operacionais."
"3.01.01.07.01.15";"(-) COFINS";"Contas que registram a parcela da COFINS incidente sobre as demais receitas operacionais"
"3.01.10.07.01.16";"(-) Demais Impostos, Taxas e Contribuicoes, exceto IR e CSLL";"Contas que registram os demais tributos e contribuicoes. Os valores indicados nesta conta sao dedutiveis, para efeito de determinacao do lucro real, no periodo de apuracao em que ocorrer o fato gerador. Nao devem ser incluidas as importancias: a) incorporadas ao custo de bens do ativo nao-circulante, exceto realizavel a longo prazo; b) correspondentes aos impostos nao recuperaveis, incorporados ao custo das materias-primas, materiais secundarios, materiais de embalagem e mercadorias destinadas a revenda; c) correspondentes aos impostos recuperaveis; d) correspondentes aos impostos e contribuicoes redutores da receita bruta; e) correspondentes as Contribuicoes para o PIS/PASEP e a COFINS incidentes sobre as demais receitas operacionais; f) correspondentes a contribuicao social sobre o lucro liquido e ao imposto de renda devidos. "
"3.01.01.07.01.17";"(-) Arrendamento Mercantil";"Contas que registram as despesas, nao computadas nos custos, pagas ou creditadas a titulo de contraprestacao de arrendamento mercantil, decorrentes de contrato celebrado com observancia da Lei no 6.099, de 12 de setembro de 1974, com as alteracoes da Lei no 7.132, de 26 de outubro de 1983, e da Portaria MF no 140, de 1984. Atencao: As despesas relativas ao arrendamento de bens que nao sejam intrinsecamente vinculados com a comercializacao de bens ou servicos devem ser adicionadas ao Lucro Real."
"3.01.01.07.01.18";"(-) Alugueis";"Contas que registram as despesas com alugueis nao decorrentes de arrendamento mercantil. Atencao: As despesas relativas a alugueis de bens moveis ou imoveis que nao sejam intrinsecamente relacionados com a comercializacao dos bens ou servicos devem ser adicionadas ao Lucro Real."
"3.01.01.07.01.19";"(-) Despesas com Veiculos e de Conservacao de Bens e Instalacoes";"Contas que registram as despesas relativas aos bens que nao estejam ligados diretamente a producao, as realizadas com reparos que nao impliquem aumento superior a um ano da vida util do bem, prevista no ato de sua aquisicao, e as relativas a combustiveis e lubrificantes para veiculos. Atencao: Somente sao dedutiveis, para fins de apuracao do lucro real, as despesas com Veiculos e de Conservacao de Bens e Instalacoes relativas a bens intrinsecamente vinculados com a comercializacao de bens ou servicos. Os gastos considerados indedutiveis devem ser adicionados ao Lucro Real."
"3.01.01.07.01.20";"(-) Propaganda, Publicidade e Patrocinio";"Contas que registram as despesas com propaganda, publicidade e patrocinio. Atencao: Essas despesas sao dedutiveis nas condicoes estabelecidas no art. 366 do Decreto no 3.000, de 1999, segundo o regime de competencia."
"3.01.01.07.01.21";"(-) Propaganda, Publicidade e Patrocinio de Assoc. Desport. que Mantenha Equipe de Futebol Profi.";"Contas que registram as despesas com propaganda e publicidade e patrocinios destinados a manutencao de Equipes de Futebol profissional."
"3.01.01.07.01.22";"(-) Multas";"Contas que registram as despesas com multas.                                                                                                                                                                                                                                                                         Sao totalmente indedutiveis nao so as multas impostas por infracoes fiscais de que resulte falta ou insuficiencia de pagamento de tributo ou contribuicao, como tambem aquelas que decorram de infracoes a normas nao tributarias (multas de transito, por exemplo). Sao dedutiveis as multas fiscais de natureza compensatoria e aquelas impostas por descumprimento de obrigacoes tributarias, meramente acessorias, de que nao resulte falta ou insuficiencia de pagamento de tributo ou contribuicao (PN CST no 61, de 1979).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Atencao: Os valores das multas indedutiveis devem ser adicionados ao Lucro Real.                                                      "
"3.01.01.07.01.23";"(-) Encargos de Depreciacao";"Contas que registram o valor de depreciacao com bens, inclusive bens adquiridos sob a modalidade de arrendamento financeiro, nao aplicados diretamente na producao. Atencao: Somente sao dedutiveis, para fins de apuracao do lucro real, as despesas com Encargos de Depreciacao de Bens e Instalacoes intrinsecamente vinculados com a comercializacao de bens ou servicos. Os gastos considerados indedutiveis devem ser adicionados ao Lucro Real."
"3.01.01.07.01.24";"(-) Encargos de Amortizacao";"Contas que registram o valor de amortizacao de direitos ou bens intangiveis, inclusive objeto de arrendamento financeiro, nao aplicados diretamente na producao. Atencao: Somente sao dedutiveis, para fins de apuracao do lucro real, as despesas com Encargos de Amortizacao de Bens e Instalacoes intrinsecamente vinculados com a comercializacao de bens ou servicos. Os gastos considerados indedutiveis devem ser adicionados ao Lucro Real."
"3.01.01.07.01.25";"(-) Perdas em Operacoes de Credito";"Contas que registram as perdas efetivas no recebimento de creditos decorrentes das atividades da pessoa juridica."
"3.01.01.07.01.26";"(-) Provisoes para Ferias";"Contas que registram as despesas com a constituicao de provisao para o pagamento de remuneracao correspondente a ferias e adicional de ferias de empregados, inclusive encargos sociais (Decreto no 3.000, de 1999, art. 337, e PN CST no 7, de 1980)."
"3.01.01.07.01.27";"(-) Provisoes para 13o Salario de Empregados";"Contas que registram as despesas com a constituicao de provisao para 13o salario, no caso de apuracao trimestral do imposto, inclusive encargos sociais (Decreto no 3.000, de 1999, art. 338)."
"3.01.01.07.01.28";"(-) Provisao para Perda de Estoque";"Contas que registram as despesas com a constituicao de provisao para perda de estoque.  As pessoas juridicas que exercam as atividades de editor (a pessoa fisica ou juridica que adquire o direito de reproducao de livros, dando a eles tratamento adequado a leitura), distribuidor (a pessoa juridica que opera no ramo de compra e venda de livros por atacado) e livreiro (a pessoa juridica ou representante comercial autonomo que se dedica a venda de livros), poderao indicar nesta linha, a provisao para perda de estoques, calculada no ultimo dia de cada periodo de apuracao do imposto de renda e da contribuicao social sobre o lucro liquido, correspondente a 1/3 (um terco) do valor do estoque existente naquela data, na forma da IN SRF no 412, de 23 de marco de 2004. Ao fim de cada exercicio financeiro legal sera feito o ajustamento da provisao dos respectivos estoques."
"3.01.01.07.01.29";"(-) Demais Provisoes";"Contas que registram as despesas com provisoes nao relacionadas nas linhas anteriores, constituidas no decorrer do periodo de apuracao. Atencao: Os valores indicados nesta linha sao totalmente indedutiveis, devendo ser adicionados ao Lucro Real"
"3.01.01.07.01.30";"(-) Gratificacoes a Administradores";"Contas que registram as gratificacoes a administradores. Os pagamentos e creditos a esse titulo sao totalmente indedutiveis. Por isso, seu montante deve ser adicionado ao Lucro Real."
"3.01.01.07.01.31";"(-) Royalties e Assistencia Tecnica-no PAIS";"Contas que registram as despesas correspondentes as importancias pagas a beneficiario pessoa fisica ou juridica, residente ou domiciliado no Brasil, a titulo de royalties e assistencia tecnica, cientifica ou assemelhada, que nao estejam relacionados com a producao de bens e/ou servicos."
"3.01.01.07.01.32";"(-) Royalties e Assistencia Tecnica-no EXTERIOR";"Contas que registram as despesas correspondentes as importancias pagas a beneficiario pessoa fisica ou juridica, residente ou domiciliado no exterior, a titulo de royalties e assistencia tecnica, cientifica ou assemelhada, que nao estejam relacionados com a producao de bens e/ou servicos."
"3.01.01.07.01.33";"(-) Assistencia Medica, Odontologica e Farmaceutica a Empregados";"Contas que registram as despesas com assistencia medica, odontologica e farmaceutica.  Atencao: O valor referente a contratacao de servicos de profissionais liberais sem vinculo empregaticio ou de sociedades civis deve ser informado nas contas Prestacao de Servicos por Pessoa Fisica sem Vinculo Empregaticio ou Prestacao de Servico Pessoa Juridica, conforme o caso."
"3.01.01.07.01.34";"(-) Pesquisas Cientificas e Tecnologicas";"Contas que registram as despesas efetuadas a esse titulo, inclusive a contrapartida das amortizacoes daquelas registradas no ativo diferido"
"3.01.01.07.01.35";"(-) Bens de Pequeno Valor Unitario ou de Vida Util de ate um Ano Deduzidos como Despesa";"Contas que registram o valor de aquisicao de bens do ativo imobilizado cujo prazo de vida util nao ultrapasse um ano, ou, caso exceda esse prazo, tenha valor unitario igual ou inferior a R$ 1 200,00 (mil duzentos reais) (Lei no 12.973, de 2014, art. 15)."
"3.01.01.07.01.36";"(-) Despesas com Energia Eletrica";"Contas que registram as despesas com energia eletrica."
"3.01.01.07.01.37";"(-) Despesas com Agua e Esgoto";"Contas que registram as despesas com agua e esgoto."
"3.01.01.07.01.38";"(-) Despesas com Telefone e Internet";"Contas que registram as despesas com telefone e internet."
